Date,Cargo
1/4/24,546
1/5/24,454
1/6/24,667
1/7/24,445
1/8/24,454
1/9/24,355
1/10/24,309
1/11/24,490
1/12/24,544
1/13/24,309
1/14/24,344
1/15/24,378
1/16/24,345
1/17/24,344
1/18/24,409
1/19/24,454
1/20/24,454
1/21/24,490
1/22/24,453
1/23/24,454
1/24/24,350
1/25/24,345
1/26/24,489
1/27/24,409
1/28/24,455
1/29/24,455
1/30/24,440
